address,amounts
0x90c2bf9c51b648a8d709542871b592829f9c4577,1
0x1959911008711ed54eced173b184e802ac876cb6,1
0x620126f55a07f991a1d4c58ec55e26ba034089aa,1
0x04991a1ac6b430aba3a0ffe3f099baf8585151db,1
0x3d63079def74163ac2be3f840d3edffd3deccd21,1
0x45c8a19ec83dc42ab89c52baf9b7171b14c2dc72,1
0xe64802d75bfea643610ebca590b8788fd37d9286,1
0x565a778424a678fce60a4d81590015b50da23374,1
0x67e1a2afb07f3471ce43676ead7f8db47707c1df,1
0x96a575e27cdc1aec9e5a67e177f4b7470db88d1d,1
0x95a20899dce423424dadbf877510fd960bd89972,1
0x8e4b633e4ac0625d83d94c95d454025d6f2f0208,1
0x9070bed134fc2a159769017eec5a14ff3e7b0485,1
0x5b83fce19487307e186f3b2221ef0966347f20c4,1
0x9d35a93f9eb55f6489b799f080de44f16c5ff9b7,1
0x733970246ccb1c1c283030a80c4fbc7231379841,1
0x8f1743fec1c71f0b393ab6533e309c8fafee7079,1
0x17eddfd5d7befe1a0e1df5b074fcc069b92943a0,1
0xa9e8a60b65fdeb8a7c874d03ee80a7a9443f5bcc,1
0xc423a10c5d7808581eba877b0d53448786fd0f23,1
0x0c455a6bf957afc40103d3d4ea365d23b0413941,1
0xdd1e3de3333c121a2c1997f044b8e9d183ebb1d1,1
0xb81d21ac45c5139fb2fa9e00d2fd9ea726a1761a,1
0xb9e1bc52e3cd1d1791688e16250729f8c5f9236d,1
0x805991aaee4063a3d4e3dcad6257e9e25082e555,1
0x058b3b7a34376f0ac1ae43bad117725a219d8c59,1
0xf36080b269419cbe9820501cf3055bca4d6fee65,1
0x5d03f206bcdf9743ec461a5f2c3938a0e9eb9978,1
0xc7f38767ca2adc4d96ebc3f916d7ae5e4a05fd3c,1
0xf4449932ba84bd62a0a1fe714c1427e13cdce85c,1
0xbd5ea2ede977833965f077f097b77f67465fec2b,1
0xfc24728aad0f15c2aa7decdafc4e4efaa7684a57,1
0x462b65932dba5d3d7ce29febbce9fa9fb41b9695,1
0xd034630dd1c87354c697c50c52a504ba954a20b3,1
0xdfbe2723da4df680bdb034601bcc48e2dd39b82d,1
0x791957d24cb6cfc61ce9d7204a7c97729a6a5ad2,1
0x100d48f3663ecadcd5dd34dacf1193f3f9e99416,1
0x550fa03db450d054130c79f40a80862c5b4dacba,1
0x07f9ec260a53eb332e0e77868d3cca62e7ff95f5,1
0xe3303976aaf458aeab02ea8a342976d504c11807,1
0xb4d5a2da83cb482c83b6927bea34688fe07c4675,1
0xd2e08325f9bfa246f13e31bbabf2383fdd2ca83e,1
0x9f63ff8b0ee293651d85c845783c4c004c1a227f,1
0x756478ad2e796237066d3f71fdc1fdb880089bb9,1
0x40126cdc51ff66d80a8e4dac6264e4b9fcb14f10,1
0x7751985df36db0b016bd49fb03b4805f292e7b1f,1
0xcd0a8739f0a3643bf1360d2c269d0eaa4f688df3,1
0xc902ce7fe5c2fcce4a20541ca59ac3b842bc85dd,1
0xb4f64c8ce3ed83c7269ac2a5eca5f5524ffa381d,1
0x782e8663acfab102e3749114f7cef6186d477e94,1
0x86fa8e67d2c2dbd580e37a43f41076917ab9e3b7,1
0xb6cb7961b4a8cd07c6d3a954852ebf5846d20e99,1
0xb18961fb84339cb21b98492531f90d071ee50242,1
0x1699d0cb6a3dfd4933df90ea6bd1b5853068928b,1
0x9733b824f36a2b0200b5faee7ded067605230803,1
0xeca6c26014c7a24a6d45aa9a5322fce49c6a5087,1
0xfdf8456efcec8ded68b334708f6c36351329dfea,1
0x42234e35528c14f55769eed7ec1343fc0e707782,1
0xddae7638bd372a91a6cc46f6b7037c6a51a3b105,1
0x366f6fb8ef7047689d077047d951531e8f10f109,1
0x11fcdfcf21dcf406560e3cf2c6c70157812549fe,1
0x936db175465adea36868aeefadb6cd5b951a03e8,1
0x6d71f3e442d4d6dc3089aeb1b0c0055a71fc6741,1
0xdb10dcbe5adb2ac7fc34ce3e15cce4af43a7afc9,1
0x8513fbc34f49969d6df5db329b8f3361f4cdf182,1
0xd398888443db88bcc3c79efdda4bc12b89a640bf,1
0xe7de2d4787407c4fe74bad05e089772e3b9578f6,1
0xabc6702b8bfa9f5d7dcff5031d31c15b39162ba3,1
0x5836e82c6254f39b3876626ad21725be82611ea2,1
0xc9955b7f4b2500ff4c0bf25915eca04b75de1c01,1
0xbe75c686cc6c04c1f96b9ac4c432ed404068d416,1
0xb379401e18bf0422b33f5ed4ec1689baa47e0330,1
0xf0bc69714a572b4ad4f6b5e464545c710de0b608,1
0x37593cb8fa17dbcff2904b67326ac7a8af9f48ee,1
0xd273f969a4dd2c599e817877a806ec2d22f09b9c,1
0xf118e0d050acd4da56d0f867b0fa40690e4789f5,1
0xd112f956f75180a2ab0559753eae7b64a6e252d3,1
0xfbfada698ab8d453c9802d1b9f36fb1a68c36f70,1
0x2c4d448d9fb1becba039beeda53d6c4ac34b3613,1
0x5f29b41a18f7af01aea71c094d379d8ab9ade024,1
0x3009d078d79621c04f1511276608bfda50cb736d,1
0x0b69b5ea768c8542d4aabe5318aaa2181839d001,1
0x5ba5ca1f9d421460e1f5f847a70ceb93a14aebf5,1
0x8fe5e03ba446af80a460a020dbfd1d40b3c7ec45,1
0x025872d86f671f0177624100a7af04497b20e809,1
0xf01cde53649da82573c8a4ce50c5442156ead39b,1
0x713a2badd46eaed6a9469b42415fcc4d38301f05,1
