address,amounts
0x5933d4a8f905925197448ecccf8862aab4e15884,1
0x42f648c8fadaef5249d3c5f9c7e6932b07dd43f0,1
0x803229bd50c1a5f75fcc4781f6a3fb6866d696ca,1
0xa568e46c44a9864f6fbc73f73b051b734ca82cd4,1
0xf6ac6f8faf4268d103ff1d4ffa18ebe0d28c9604,1
0x39ba1bbb1a00937f18c0ce7d69bd22d8df2e7544,1
0xa8869e82615c310ef202e50a06ab6a41ffd65636,1
0x7c32a25fbfb2419be105d6dad66b27e5edddfb31,1
0x274aba029d9838cd2218bf314a8b26b49a2e523e,1
0xdef5c9d823696aade967fc68e6e90cd87d0b4fd4,1
0x9801fd61750f44bbdca4ebae83d6888ab41f674c,1
0x4956ed801f62b2e2af0b0c71a3cdce5476f73482,1
0x01ca79a45077e221ade249076d06b7ee700fe30f,1
0xfb5dd501a401e2bd2036723749c1f4a16adec483,1
0x32289004bb92ea1ce30a1c50dc511797621b6ff2,1
0xf6790c936be9a5548c547cb95d9365a515129fc1,1
0x32955a090474ff45dec50257b619105a64ecf963,1
0xdfcdbedb48cdb0343c383cf3ea95b63a93bc53a5,1
0x792fbefef5b88236d2685ba9edb4c1862ea93990,1
0xdd7d33b608256ef6320a7156bb72e61d192fab9a,1
0xc46c0aa05dcc00f6ef7de372a86a264ed0e58904,1
0x3019e72613a1006b1f778a3a74074acc8cf2ce9f,1
0x9723b30b10140639f5884d3815167577b9701255,1
0x526b0ccf2314a9ae72128ec92c743eab05266de2,1
0xf177db8d782ca1c237a731e58b51c11353d52735,1
0xa84d377273899bdb89418403ae7e62a5a618db88,1
0xc81146df609c8d7923e3f27eabf5a8738477935e,1
0x360a61e79e0fd8e8cc79376cc85fba0d5890a520,1
0x65a4323fa410201eed334125e54b7a5204b05faf,1
0x3ccfcb66d33a59bc7fd0bb88dec85d5414eb7cfa,1
0xcb5cb5e397bfe9f365daa0febb15110b1439c793,1
0xd9ba359df98bff2fdaf028b541217a89d5189403,1
0xf10b553bb4cbab1e026634cd8a4008232f47c332,1
0xf18a0e44fd150943baa50730976ccfadab8a0801,1
0xf5c55cf0e46f6ff87994778c250e8441da9aac9c,1
0x0468741032217ef42a3b3a0a37a6a9f436e855d9,1
0x93af989f04ccafc922d859b89818164a3e50dcac,1
0x0793f5195c3df4ae035cad3e65d966d3445a4b35,1
