address,amount,
0x3afa1ed97101f2b66452feec97b7fb20a146bfa0,62.9,
0x61b31cc5f2979db3019e7a1eb5e89be20a912598,29.75,
0x699cd19b47c1dd51da37c5c001136d65af008e91,31.45,
0x63294e34ddaa9b0737a74ec798321a3c56cf4abf,29.75,
0xf2f0f4401805f8ad619d20ceb096f61149458abb,110.5,
0x7cc27a1b317e68801cf0280aed43fed50aed326d,170,
0xf2e8ccf708ad3040d3801c665dbd3e1d3097089c,29.75,
0xeddc4caa3c10395c73fc99dfe6ddad829af80695,29.75,
0x97a9871bf7cc80a01a85b2bdabe9e2534075a238,566.1,
0x05738eb6ac52b6014ea737e2097348cabcc914d0,29.75,
0x01254adc5d58c5595d546058203bffabf7a03f12,17,
0x8828039d56632093c608c235b6814fb6e52c7502,35.7,
0x097d2c24ab5c30e8e21ee88560523f60d3320742,29.75,
0xfb5959e3f9401033273ce1009099df6f0f972030,411.4,
0x793e78f1c481a0157dddbe99e64d2f0656c5dda6,29.75,
0x54ff8b0feba485e24d6475db6a73215b0c57efcf,29.75,
0xb68ce8b4d0c5818703aa188c8f7345f3268ed8f6,377.4,
0xbc627254fa9e73117cb70e1d4eed610ba0a9de0d,251.6,
0x97cc8d35e866bbfc8c1db5d25c3a846298221701,29.75,
0x13e1f430a90d26270ea057c69bde71351b6dd85f,28.9,
0x028db7c845ad791b676fbc0d01d5c4caec3494b5,29.75,
0x7f06eefc432886a9d4aa3afae5d490e420dc4619,29.75,
0xe4c11beeb836cc6653410e147be97618ee95be4e,29.75,
0xe4a2829f4c688996233a933ced1940ba0701d17c,80.75,
0x8cebb95734e06b1e9758116d7af377699090ab49,29.75,
0x0b59ae45ce4a24c3cd643cb5100553c23e3463c6,482.8,
0xf576d0381dfbf0fb08dea884a44a16cc046648fc,340,
0x804c2052c4a4ea2141f9d52c068def7f8502a171,41.65,
0xaa22a8c84cdfe40c5f888fc1f84ac33451b2b111,41.65,
0xa2f3dee310133fec376f2061b6bbf2bc9fd8e9d1,362.1,
0xa4ec20c0751d78777274606d0d71304d1c191f96,145.35,
0xe9dd8b36c7d843e811601360b836bb73aced82cf,119,
0xfda77411e0c12df5224d2c958caa111ea5b45329,29.75,
0xe16caf8a228d4f959258ae38943a88f6e9f718d4,178.5,
0xcfebd5cc3875556c40300e1deb6f1975693416d7,340,
0x899c033be75f975f97b0868e1953b13a56e62d91,116.45,
0xb3397a6feedff2b9fce9ca1086cb1bdd617c16bf,243.1,
0x00a9b763ff87ae5e9c6312779456144a06f6200f,709.75,
0x04befa0087536e99fb1a9bde00c4a6f9289eb6fb,62.9,
0xd68561fab1e913e128edcfddac8b45337e0821a8,35.7,
0x274002bd66be90caeca968804dca91a917c78ef0,35.7,
0x2c25a6cd94fe71002ca711874a54e9becb786d10,80.75,
0xc3dcb4b176b2fd76ef2d7069e4b48a9a0918c417,29.75,
0x2fb8ad61136bd6d668f9bff7a9f6066b4ed907d4,29.75,
0xc758397c40f8dc4dcc140141368353c8d8fd373c,29.75,
0x4616333335159a93652c8af40054d404cc21c7bc,29.75,
