Wallet,Reward
0x1330355f5181e5a865b35063427648a5aba9096e,1011.5
0xf43dd86d7a7db7e3e411a9502af52c124243686f,2040
0x54fa062ada4367420418cc9ca133c20b7440eec1,1360
0xbfae365f6d420ea1c86f84489a7dd58402edc8ad,85
0x527e5c08d360f2b2a1c426245297dd2876c53a8b,255
0x0cfc070b28fdf32475476bad4c236ff0c941c607,255
0xba0f56f913640cbc2f00a1e99eebc4d0b7a392b3,935
0xf71754daaaf2d74291362a101cc0ff5b53bfaedc,5270
0xa5ec0fe36ff49727ada0b1b365be8f91a6b9bdfb,2166
0x4d2c52b2c61026e9a3966cc349cca9fcfe27a382,1275
0x4beab2af56bf3734983cd6fec1e16e3e17889d94,760
0x68462009b80f3a50febad68c61890f4927a7d5e0,850
0xf9ba10f989e1d971c2d798c0fe5d3e94c56f030d,425
0x50db6f29c6a70aa6479e7adfc4248d5da900773e,170
0x3ac6bf41fb09ddefdfd910b5bf65a0ba626304b5,1190
0x93d096678afe298839332c5a704e408c25393ecb,705.5
0x46d4987b8bd188cb23425c524c1bc44cdb6b36da,1360
0x222197f6ef2798d319965dbf7a0374f5303e5b34,2975
0x359a4f35926278ab79b1b83d18b84935424301fe,875.5
0xed129c909b4eea628dd1bdb064a4eb5ae20c4a92,425
0x84ab51c230f5f9fdf85e1fea7e8a029a2b387e1a,425
0xc596760503b4b215c82d16dd7929f976a728c271,1275
0xbf3125d7e2fcc290d97d27a84c70fd8ceb7671a9,212.5
0xc04df29424ee49395e962858eb0babd29b2c14e9,1802
0x5a6d489c1f9af9da07f6414b87ee969645419375,85
0x1c452b10df490f2548a1389fb74961f1ed655e7d,765
0x85a0282e76cf7012b15f8d51965f486cd344687b,142.5
0x2da4bb47215ee3bfa3cd08a89cbec87816062124,212.5
0xc8215e044bb4c63c3d6e8dc9d130d50683094e45,2975
0xce99e81912fee351b1058e822b1aa41745aa55f5,127.5
0xbb088b60f8acbd24051cd982584e3af06b58596b,85
0x6a0d36928b9c22024c7601cea83269235cb3bd60,2850
0xadef07f21f632003bd8362280688e099f56423e1,6757.5
0x64ae6414a42207aba882663d57a4d6a45f993d73,10540
0x40546025b9607996cdf7246061f9eb855e40cccb,850
0x5b36e70b17cb5802e3db17cc1f176c0983dfd31d,13205
0x59d24be241ab2a98516f5d13c3f4cc1b6c29c2c9,3442.5
0x67f6a2622770c535ab8a893bb0137db86a29cde0,1275
0x729f6405527fbaa18d73c8c163a20defb2668d9e,850
0x1c2b20c8c7f0c649ee682e1c62a3b681862f7b34,178.5
0x40174a3c92a7ad071ed290df18d732e95411b29d,340
0x04f4b0d4807459725dd461ef09f0cd94ef3f7c0f,425
0xc356ac859538c9f33c750642ed4dda0ae31b17ef,127.5
0x5e914f52c830e817ef4b2b9914c08ee312121d6f,765
0xfc29f146f611c4152fe4762653721788a53b7bc6,42.5
0x3780df04c6d0074f6aac8f1f5acad61c57604496,170
0xf6d1fc47fd46df22eb2dff06851b7c902e123f10,425
0x43e7752f2478b32b1cdbd62aa7ea512668756ba5,1275
0xa9c11abb2b10834a2b2ddb8bf1019557ffb02b81,212.5
0x7049d10d42847397b0e52408f8f8c6c23f619b47,42.5
0x8b9b0d1bc97c7b9101af27150fa43268c109dab1,1700
0x972978353e8054e4cff24dd7348ea2b2ec768d55,13338
0xa5aa079843cf64334cef30c13b9a5fad97c061c5,42.5
0xe056077a5ab960ce67bf31c90bf94f8442bfa425,2337.5
0x14c78df591cc60d8a0b5d5f62593523456ad6c18,2167.5
0x4353cdc9db392ed8e9279bd21cf7b9b917488b3f,850
0x6a80c5b68d4d058218eb26d33c454828aa4e3766,1062.5
0x90bf1d74338e01acb1851dcc1c0d19efa42bf343,510
0xb18d3b20b96d946dfe2879ebc263e4c57b77dce0,3040
0x2efc398b16d4c9515d671a76ce8b4625fdc84644,6630
0xecf9d05a427b0f0e14e79001268afe00821bbe99,4930
0xa5442966da959820058b0c1952b0b5746b65d318,3417
0xe2faa637bc3742f97e98d002044bdb3b35383162,765
0x2f3bf5d151afe2fc5b45da1f71b3e1e6f2f69059,102
0x4873cc334b21d973c0708336db50d3668dd462b3,850
0x0ffacc6bda2b191f003243ba6158f96cd862bc4b,680
0xa1d085ec8e4eea7615644a4e46cfe1095c2bf5c8,5937.5
0x14cf01598ed303240d73365ced552d7fa0314807,2550
0x479b1160a9d5c317148a0eecd15f0bf893d8bca6,756.5
