address,address
0x3b8098bfebd069cabf53009490082322eaf89a3b,29.75
0x8e4fc16c8d4f1affc0ee927b70aaf65559fc4006,29.75
0x363c3116d796ed45871f2855111cafa44788ba0b,879.75
0xcc858d2a4c300aafeeca15308f3a1b066b68e2cb,1207
0xaa4e9ca01011ea77a70560633dc8a10b147367ca,29.75
0xdc67de8277d966bb26d8f5465006ba7cbf7b52a1,922.25
0x4276a663ad347a40ca9adfcf2977930d02107039,29.75
0x67d6033631c85789d81da5c316e03c31bd4a682d,425
0x00cf8bc1a4c86cc08df3700837d5d170ed3079c6,29.75
0x89df444934b3080c853b4099923d94e3a560b811,29.75
0x11bc482ef059affaea099fc909bcdc5b021e0393,425
0x7a52f357732da1265067120d3de0795be1ee1bc7,1092.25
0x13f7f702115843f06c79ee57a8b36851fb851f0b,29.75
0x75fb57291d1c90398ed85d37de829f06aacc7587,29.75
0x4bcf75211f31be86aa1a8c5daf41c009feae9303,879.75
0x85e8aaf0a789456465e6819d1eb49e49c8ed9fa7,1071
0xc2933176a9be2116721a2681e042111ad22f8266,102
0x82ca3ab63205b404d6a4116e9c2875814e6b0d9f,114.75
0x51bad62052a3564c473214c62feb4084eff4213b,879.75
0x03d9c8a28e4021e23f28ff435ec7cd08c27cd69b,34
0xb7c2fc9d44db04ff888037037aadfd10d7564d95,29.75
0x9ac2f04fcdbfc8033cfae0abfeda793995959a07,310.25
0xd73f256070cf2f87f6ac02e04b6412660c1f5c80,29.75
0x68801ef99c3980821e8169c1469da413a8d8f890,55.25
0x6c11c151adc437db6b95968997ab8caa0d7188d0,850
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,29.75
0xbb6abd89e6c3193c4f85b10b90027106cdb4028b,459
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,29.75
0x7b370171964beb5a97dd8a24bf35e46287daaef2,29.75
0xa2b4be559db08800b988932b88b27d026bb8aa30,850
0xe204f2fc6f5aa2bb968f1ece326f59be4b514b0f,153
0x6b48978c1a78e6f84909b52dd3dccd186de9506f,29.75
0x610b0783a2c3a3e70529ca144b170c1a5b44bae3,29.75
0x5c216d7f402b3f41eab91df35732c8994348536f,29.75
0x698c5668434ac2c24fe9ab5470fb904cc308d5d6,901
0x737e5f0fbbafa9b98eb0251e9293c51221bb97c7,1062.5
0x05e82be3577dec7b5e6a84dbe0bbb40cfae5589b,29.75
0x870ae9055a31b207771614dc8658eb15d867104d,29.75
0x11975e743c096eb71abc425c8fffd65509b36fda,582.25
0xa1beb350a770aa731dc674d11d487de582f518d0,722.5
0xe288e93f5ce0b7c7366e73f56f1219a699f11d33,1275
0x4b3be748c7e6eb66e62edc3905522ec63fcf9c67,29.75
0xced952e0dbecef7e0b75713e9872de76b93f098f,29.75
0x1f3562fc215f9fca22d4dcd1a7c16a6f1e623f9e,518.5
0xc58d3876a94ddf168a9d5e470de3c34d79b5af09,29.75
0x47fe1d33cc44133b48709ce5b5dfe87c381a4cd4,930.75
0x25977da0749df96370178bbec55b1fa57acd491c,497.25
0xb9bea0554b3ca76660712d6b525cbfbc101fec1d,29.75
0x989e87b927366bcd2d9ef24ba35888b8f9d14fe3,1734
0x4e2c3ef488a49d973c15e5bc4bbacea896fcd747,450.5
0x6406d4ac5d86612f53014fd46243d2442ccc2093,29.75
0x5bef45489a03462d199612c5cd992f114f398ea8,531.25
0xb4b15741a2152d1c8135bd947996b613a8cb584b,29.75
0xaf1f5454e01dfbeb2361618cb3e845f492082c16,25.5
0x8c9fb695c3336ed9507d738d7b229c34c29a84ff,29.75
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,879.75
0xfb40932271fc9db9dbf048e80697e2da4aa57250,850
0xabb2f9c3d77b7ed222b5b2a002475880bb1f26c1,51
0x598b13dc1d5feeac4dd55d55aa8bbdec23a2816e,29.75
0xa813233aec1e8e501a8c8b8aa2b7401328113a92,1177.25
0x6ef22caa22d08d09082ffaffa3cd051296a78a17,1058.25
0xbe669ace6490b95a102599c4c4324e4b32944d48,127.5
0x85488513dcc04565b30e711bbb876f9ef9152e82,29.75
0xe26395dc1b1053864fffad91b6977855c9bb97d2,29.75
0xfe4f5d320003f7b48d6cdefb3e3db6e591813502,29.75
0x0ed372743fa0a1eee91ea6b0bcd484ff21f19351,29.75
0x000733a92b3d3a91a1b07e52f6bba8c6e17cee8a,29.75
0x98a0b0720bfb3ad3b6ed911d4b219b8609e6732a,29.75
0x473c0756144923360310bdf8d98d12a1f24c514c,29.75
0x5856d1ee655d3035401f55f93c7db4101f357514,29.75
0x9e31ea0a134d449c592f2db4d2cec9e762f9dc78,29.75
0x4e17657eabcc1ff18348975eb4d49c983e83b166,29.75
0xf7f88fcfeac92aef3f651f922a8f45f0bf2ccafb,29.75
0xea999efa7e9eb7c7bbae3ed3d44005bc2562bb29,29.75
0x09c24f306b93f3805330051c0ad9a10f540378e5,29.75
0x04bc9804698273be7e0793043f9c912a5c2d8703,29.75
0x80d1c0b8ea4999a750239123b5b198cecadf1fa7,29.75
0x0dbddae8ba17f005eed7bde70caeca5f7194895d,930.75
0x1a9f17b52e36136d39a8ef04876090211ae66d89,29.75
0xb16719bc309cbeddd638dc01bbf22dae9be38d2d,637.5
0xd089bcb8424fad910c83790551a4391343d923e9,29.75
0xa1e6b29ea4bac36069b4ac06a96782ef4ebf26dc,29.75
0x7d4048a55d75a2f062a4dc5ba4cb5fd1500b71ad,29.75
0x36d10badd98b60119c2c240aca947535ef489c4f,850
0xba422fb2bb83dd98bbd438ac3a998b2f847272bf,29.75
0xe4dfb7b2086b13a55654fd2051786089000a9949,29.75
0x232c60205290e45616a74d2dabd9bfc1a228b1e1,29.75
0x181a364df3b9445119e6ee31e310668c86fef2f9,29.75
0x071d3559eacc3fb15690c966656b4cf2de94d4b4,29.75
0x1e58f9f9296b934d1012cd6cb81c08bae83457d0,692.75
0x3afb5778862d2a36c9cec80a7e2bee4d7c18807b,21.25
0x005c1ed2e9512a07bc83e0122c86d599f2384b8d,29.75
0xe27c2167f6316a4c6dbdbcc2cc8662265e96e57e,29.75
0xe30afa043a90d9191eba8edaaefb243611e8f4f2,29.75
0x0e719c5de6e2ef36f41718840b9aa94490907bd7,29.75
0xf0f5f956d2514a6f0f908e108a17869a196db2cc,425
0xdf7d8e7f0556820593aba352fa860fe8711f0c9f,204
0x902a559e7512a541b5137f447dd7a43857c40695,29.75
0x2d60a5714fca4aee015478b5d3774843b415377c,29.75
0x61baf136e34d80b48eec37e17066846cb485c3f4,29.75
0x13bac47f0f4fbfbc418e9bd33cc02ee47e50bcac,29.75
0x278b4f3aafc3d731613db41c9de0e43d57ea0143,267.75
0x5a398d52f412d97ac5852fa327ccd425737d3633,454.75
0x3c7bb8f3a697c09059ec64140eb1e341a015f0a2,29.75
0x36ead1d2164155297e4825e92a3096f819faabfd,29.75
0x2f6ca6560c8f83bc1c0f5fc24ee19c518391fe36,29.75
0x0e68e703610f9f291ef43e8fb1b4a1af0225292d,29.75
0xcd74f497ebd307075f7257e2d63be37b14757285,29.75
0xda4fff3a71273664dfda8d196dd477e9e5e1787d,29.75
0x90c7d15f23e4c194c67a102159f859b50d3781aa,29.75
0x61694da276a34df4cf11ffe54af60761c4a9baf1,29.75
0xe02ba0543f823b603615888d12c2f71538a8fdcd,29.75
0xf4be9fd8090f7933c27f5c377d9a22f775a4fcfb,29.75
0xea4247e670db90600e87bd441c67a0951fcd2605,29.75
0xeaf13ea51e23aa133383a5638fe60332e04b6fff,29.75
0x09c2af8777857c56f62a98527d453b26a6dd3ab6,29.75
0x421dd2c11a42a82caddd6ee39969b2f5f1b95c53,29.75
0xd0bf778abe4c5c94e46d29cdf0f0594a1643949f,29.75
0xa1e01f586a660dc0d19294f901be1213acf3f5fd,29.75
0x7f1b4cc359f5f692b5cea6be4c16ceaf45866a9a,29.75
0xd61a7867ba1afa262c108d6b4e8d9623aea3ef4b,29.75
0x564e626e7dac5405d978be438821bce6150f7614,29.75
0xec1d1991cd200cf297daeb392bf164237accb3e0,29.75
0xd059c085a71feea3561025d151a5c37df165b9eb,29.75
0x70bfb7f864af15ed25a16f02b21cabe8b5754620,29.75
